Team,Group,"Previous 
appearances","Previous 
titles","Previous
 finals","Previous
 semifinals","Current 
FIFA rank","First match 
against",Match index,"history with 
first opponent
 W-L","history with
 first opponent
 goals","Second match
 against",Match index,"history with
 second opponent
 W-L","history with
 second opponent
 goals","Third match
 against",Match index,"history with
 third opponent
 W-L","history with
 third opponent
 goals",
Qatar,A,0,0,0,0,50,Ecuador,1,-1,-2,Senegal,18,N/A,N/A,Netherland,33,0,0,
Ecuador,A,3,0,0,0,44,Qatar,1,1,2,Netherland,19,1,1,Senegal,34,-5,-5,
Senegal,A,2,0,0,0,18,Netherland,3,-1,-2,Qatar,18,N/A,N/A,Ecuador,34,5,5,
Netherlands,A,11,0,3,4,8,Senegal,3,1,2,Ecuador,19,-1,-1,Qatar,33,0,0,
England,B,15,1,1,3,5,IR Iran,2,-12,-31,USA,20,-1,-2,Wales,36,2,5,
IR Iran,B,5,0,0,0,20,England,2,12,31,Wales,17,N/A,N/A,USA,35,5,7,
USA,B,4,0,0,0,16,Wales,4,-2,-2,England,20,1,2,IR Iran,35,-5,-7,
Wales,B,4,0,0,0,19,USA,4,2,2,IR Iran,17,N/A,N/A,England,36,-2,-5,
Argentina,C,17,2,5,5,3,Saudi Arabia,5,1,6,Mexico,24,-1,-1,Poland,40,4,9,
Saudi Arabia,C,5,0,0,0,51,Argentina,5,-1,-6,Poland,22,-1,-3,Mexico,39,N/A,N/A,
Mexico,C,16,0,0,0,13,Poland,7,N/A,N/A,Argentina,24,1,1, Saudi Arabia,39,N/A,N/A,
Poland,C,8,0,0,2,26,Mexico,7,N/A,N/A,Saudi Arabia,22,1,3,Argentina,40,-4,-9,
France,D,15,2,3,6,4,Australia,8,N/A,N/A,Denmark,23,1,0,Tunisia,37,3,1,
Australia,D,4,0,0,0,38,France,8,N/A,N/A,Tunisia,21,1,3,Denmark,38,-3,-9,
Denmark,D,5,0,0,0,10,Tunisia,6,N/A,N/A,France,23,-1,0,Australia,38,3,9,
Tunisia,D,4,0,0,0,30,Denmark,6,N/A,N/A,Australia,21,-1,-3,France,37,-3,-1,
Spain,E,15,1,1,2,7,Costarica,11,1,2,Germany,28,8,19,Japan,43,1,1,
Costarica,E,5,0,0,0,31,Spain,11,-1,-2,Japan,25,N/A,N/A,Germany,44,0,1,
Germany,E,19,4,8,13,11,Japan,10,N/A,N/A,Spain,28,-8,-19,Costarica,44,0,-1,
Japan,E,6,0,0,0,24,German,10,N/A,N/A,Costarica,25,N/A,N/A,Spain,43,-1,-1,
Belgium,F,13,0,0,2,2,Canada,12,4,13,Morocco,26,2,10,Croatia,41,1,0,
Canada,F,1,0,0,0,41,Belgium,12,-4,-13,Croatia,27,1,12,Morocco,42,-2,-3,
Morocco,F,5,0,0,0,22,Croatia,9,1,2,Belgium,26,-2,-10,Canada,42,2,3,
Croatia,F,5,0,1,2,12,Morocco,9,-1,-2,Canada,27,-1,-10,Belgium,41,-1,0,
Brazil,G,21,5,7,11,1,Serbia,16,N/A,N/A,Switzerland,31,0,0,Cameroon,48,-17,-70,
Serbia,G,12,0,0,2,21,Brazil,16,N/A,N/A,Cameroon,29,N/A,N/A,Switzerland,47,N/A,N/A,
Switzerland,G,11,0,0,0,15,Cameroon,13,-1,-2,Brazil,31,0,0,Serbia,47,N/A,N/A,
Cameroon,G,7,0,0,0,43,Switzerland,13,1,2,Serbia,29,N/A,N/A,Brazil,48,17,70,
Portugal,H,7,0,0,2,9,Ghana,15,N/A,N/A,Uruguay,32,N/A,N/A,Korea,45,2,3,
Ghana,H,1,0,0,0,61,Portugal,15,N/A,N/A,Korea,30,2,3,Uruguay,46,0,0,
Uruguay,H,13,2,2,5,14,Korea,14,2,2,Portugal,32,N/A,N/A,Ghana,46,0,0,
Korea,H,10,0,0,1,28,Uruguay,14,-2,-2,Ghana,30,-2,-3,Portugal,45,-2,-3,